,label,tweet,tweets_length,cleaned_tweets,label_code
10,anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]",41,betul min rakyat indonesia sekarang harap nya tinggal sama tni saja kalau yang lain lihat saja sudah jelas serang ke kantor media kata tidak ada unsur pidana sudah jelas hina presiden indonesia yang sah cuma lucu lucu an saja tni url,0
11,anger,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dsb kan. Kpopers baru ya? Fansite udh ada dr jaman kamera belom sebening skrg!,30,kalaupun fansite ngejual hasil jepret mereka toh uang nya lari ke idol juga beliin mereka hadiah dsb kan kpopers baru ya fansite udh ada dr jaman kamera bom bening skrg,0
12,happy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h",20,sangat syukur bisa doa kakek bung karno sama anak anak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomor2untukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur username h,1
13,sadness,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orng dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.,36,sulit terima nyata memang bahwa ada bagi yang anggap ketika kita interaksi dengan satu orng dari satu golong tentu kita langsung kata golong tentu saat tanpa kita ajar cara utuh dan klaim diri kita paling benar,2
14,anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,20,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha satu hati sama sama maling,0
15,anger,"Ku juga pengen ngamuk bacain komen2 netizen yg mahabenar. Ya Lord. Ga abis pikir. Komen2 macem gini yg bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yg komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]",43,ku juga ken ngamuk bacain komen2 netizen yg mahabenar ya lord ga abis pikir komen2 macem gin yg bikin kasus leceh seksual akan tenggelam begitu saja tidak ada hukum untuk laku lebih sedih rerata yg komen jahat adalah perempuan mbaq2 sehat loh url,0
16,love,"Setiap kesempatan yg pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yg pernah didapat",20,tiap sempat yg pernah hadir tuk dapat buat selalu rasa aman dan nyaman kini jadi suatu hormat yg pernah dapat,3
17,anger,Sedap kali kau ya bobok dikasur ku. Aku tidur kau ikut tidur. Mau jadi apa kau. *Bacanya pake logat mamak dahlia di Keluarga Badak*,24,sedap kali kau ya bobok kasur ku aku tidur kau ikut tidur mau jadi apa kau baca pake logat mamak dahlia di keluarga badak,0
18,happy,"H-9. Mau ke bank rame bgt ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe ga keliatan mbak2nya yg jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang utk berbahagia ",45,h 9 mau ke bank rame bgt ampe antri tempat duduk ada luar toko emas luber ampe ga liat mbak2nya yg jual ke swalayan antri kasir naudzubilah panjang bener pada bahagia semua kayak moga oh moga rs sepi pasien pada sembuh dan pulang utk bahagia,1
19,anger,"Benar2 hancur negara ini dikelola amatiran, tp kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]",29,benar2 hancur negara ini kelola amatir tp kenpak username tidak indah statementnya sendiri negara miskin koordinasi jangan asal gagah2an seta salah anulir mana marwahmu wahai mr username presiden url,0
20,anger,"Budayakan mencari dan membaca sebelum nanya ya. Udah dijelaskan berkali2 kok. Selama ga diatur/gaada ketentuan khusus, pakai aja",19,budaya cari dan baca belum nanya ya udah jelas berkali2 kok lama ga atur gaada tentu khusus pakai aja,0
21,sadness,"Separuh hati ini iri jika melihat seorang anak yg masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yg begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yg terbaik untuk kita semua.",43,paruh hati ini iri jika lihat orang anak yg masih bisa duduk atau jalan sama ibunda dan paruh hati ini turut empat lihat orang anak yg begitu gundah saat ibunda sakit yang sabar ya kawan moga allah beri yg baik untuk kita semua,2
22,happy,Ketika aku tersenyum bukan berarti hidupku sempurna.. aku hanya mensyukuri apa yang aku punya dan apa yg telah Tuhan berikan untuk ku,22,ketika aku senyum bukan arti hidup sempurna aku hanya syukur apa yang aku punya dan apa yg telah tuhan ikan untuk ku,1
23,sadness,"dari mau tdr, tidur, sampe bgn tdr kok yaa kayak ngerasa aneh.. ga enak hati. udah dibawa istighfar masih aja. bgn tdr kayak sedih, kayak mikir ga puguh. ini knp bgt coba :(",32,dari mau tdr tidur sampe bgn tdr kok yaa kayak ngerasa aneh ga enak hati udah bawa istighfar masih aja bgn tdr kayak sedih kayak mikir ga puguh ini knp bgt coba,2
24,love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary syg #6nov #31months,21,kan peluk engkau erat2 hingga tak ada orang pun yang bisa rebut mu dari peluk ku happy anniversary syg 6nov 31months,3
25,anger,Kalo mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya cuman buat kaos dan tagar,23,kalo mau ganti presiden itu harus jelas siapa calon terus adu program kerja ini koalisi belum ditentuin bisa cuman buat kaos dan tagar,0
26,happy,"Sukses n keren banget dgn no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan",23,sukses n keren banget dgn no 1 kualitas bhn krja itu cita2 pu agar waris ampe ke cu2 sukses tims bbpjn6 barokah limpah,1
27,anger,"Udah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu ga perlu diungkapkan, nambah dosa + nyakitin hati orangnya mending diem2 bae lah. Kasian anda nya yg di julidin sm orang.",34,udah mau sarjana 2 kali mbokya mulut nya jangan tinggal buat ajar sekira itu ga perlu ungkap nambah dosa nyakitin hati orang mending diem2 bae lah kasi anda nya yg di julidin sm orang,0
28,anger,Gimana orang ga nilai dr jilbab/syari/nggak nya. Kadang gemez sm orang yg dikelas diem2 bae eh di grup WA bisanya dia nyeletuk mengarah ke social harassment.,28,gimana orang ga nilai dr jilbab syar nggak nya kadang gemez sm orang yg kelas diem2 bae eh di grup wa bisa dia nyeletuk arah ke social harassment,0
29,fear,Hari ini jadwal presentasi proker di LPPM karna ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa) ,43,hari ini jadwal presentasi proker di lppm karna ada praktikum jadi pak ketua di teman sekretaris 1 tapi selaku tanggung jawab ada di sekretaris 2 jadi deg deg an ini bismillah pak ketua btw pen upload foto pak ketua tapi jangan dulu yaa,4
30,anger,Foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa khan gw #begoloe ,32,foto saya di instagram masih ada cuma lupa password instanya jadi ngga bisa di buka ini pasti salah perintah dan instagram kenapa sampai pakai password segala tuh sampai lupa khan gw begoloe,0
31,fear,Drama kmarin sore : seharian puasa trus pas lg mandi kaget bcz kedatangan tamu tak diundang pas bgt woi pas lagi adzan maghrib trus jd galau dong seharian itu dianggap sah puasa apa enggak-_-,33,drama kmarin sore hari puasa trus pas lg mandi kaget bcz datang tamu tak undang pas bgt woi pas lagi adzan maghrib trus jd galau dong hari itu anggap sah puasa apa enggak,4
32,sadness,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tp sukses melupakan laper. [URL],17,sungguh cinta berat sekali pisah dengan apalagi hadiahperasaan username selalu bikin baper tp sukses lupa laper url,2
33,anger,"4. pas uda dikirim kembali, si kurir telp ngeluh dan mager buat nganter ke alamat yg bener. malah minta ketemuan di titik yg dia tau itupun dia gamau susah (no puter balik, hrs searah sama arah kendaraan dia jalan)",39,4 pas uda kirim kembali si kurir telp ngeluh dan mager buat nganter ke alamat yg bener malah minta ketemu di titik yg dia tau itu dia gamau susah no puter balik hrs arah sama arah kendara dia jalan,0
34,happy,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.",36,pada akhir kita akan lewat semua ini semua yang dulu kita bayang betapa sulit kita lalu juga di akhir kita hanya bisa ajar ajar dan ajar petik semua hikmah yang bisa kita petik siap untuk depan,1
35,love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya ",23,kenapa pasang seringkali ibarat bagai rumah karena rasa nyaman sama nyaman ada di rumah kamu bisa jadi apa saja kamu selalu pulang tuju,3
36,fear,"Ya tau kalo rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat enggak menyelesaikan masalah dengan terlontarnya kata demi kata",35,ya tau kalo rasa sakit hati memamg sulit tapi ada kala nya saat di jenjang rumah tangga jangan lah di publik situasi saat ini media itu jahat enggak selesai masalah dengan lontar kata demi kata,4
37,happy,Ponakan kls 4 SD: lg demen nonton video tutorial masak + craft @ YouTube. gw kls 4 SD: udah baca novel2 Marga T. &amp Mira W. minjem punya sepupu,27,ponakan kls 4 sd lg demen nonton video tutorial masak craft youtube gw kls 4 sd udah baca novel2 marga t amp mira w minjem punya sepupu,1
38,happy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.,27,bberapa tahun kemudian sejahtera keluarga makmak ini teus tingkat sampai suami itu dpet pangkat yg tinggi kurang paham juga tentang pangkat2an di tni poko sudah hidup bekecukupan,1
39,sadness,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini aku dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.",33,bukan tidak dukung atau doa cuma sikap apa yang sudah2 itu pilih dan upaya tahan sini aku dari jauh harus bahagia tapi lihat sedih kebahagianku pudar seperti saat kala itu terima undang nikah,2
40,happy,JNE/JNT selama saya pake entah kirim paket/beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks/gang meski malem sekalipun dibelain jalan ke rumah sampe paketan terkirim dgn baik.,46,jne jnt lama saya pake entah kirim paket beli olshop jastip dari luar kota sampe beda pulau maksimal 3 hari sampe mau itu dia pake mobil susah cari alamat bingung gabisa masuk kompleks gang meski malem sekalipun bain jalan ke rumah sampe paket kirim dgn baik,1
41,anger,"Gemes bgt sama orang yg masih menganggap wajar pelecehan sexual secara verbal  mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!",22,gemes bgt sama orang yg masih anggap wajar leceh sexual cara verbal mau verbal atau fisik atau apa itu tetap tidak benar,0
42,fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik. ,29,apa hukum main musik stad jelas haroooom hukum dosa kita main begitu kira kira cakap yg jadi antara pena dan orang ustad buah acara tv yg intro pake musik,4
43,anger,Apa Hebatnya Mardani? Menurut sy oeang ini Cuma besar mulut aja Faktanya sampai saat ini blm menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA nggak mungkin lah yaow,29,apa hebat mardani turut sy oeang ini cuma besar mulut aja fakta sampai saat ini blm sebut capres lagipula kalau koalisi hanya pks dan gerindra nggak mungkin lah yaow,0
44,sadness,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya. Lanjut yg tadi, baru aja setahun di kasih kenikmatan datang lgi ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent",46,oh iya ibu nya ngelahirin anak ke 3 yaitu cewek tpi gak tahu tahun berapa2 nya lanjut yg tadi baru aja tahun di kasih nikmat datang lgi uji buat si makmak kali ini mungkin berat dia di tinggal suami tinggal ketika ibu itu jadi singel parent,2
45,happy,Z suka twitter soalny perempuan ji semua temanku dsni Biar mengomel sampe tablengker ndada bahayanya... bahas 'monsteration' jg bebas.. bahas nda puasa jg bebas~~~~~ Di wa mo update status streskan 'monsteration' kt harus pi dl blok semua cowo baru mengupdate ,40,z suka twitter soalny perempuan ji semua teman dsni biar omel sampe tablengker ndada bahaya bahas monsteration jg bebas bahas nda puasa jg bebas di wa mo update status stres monsteration kt harus pi dl blok semua cowo baru mengupdate,1
46,anger,Nggak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?,24,nggak ngerti lagi sama ciwi ciwi yang nyinyirin via vallen ini dia itu korban loh susah itu untuk saling support satu sama lain gurlzz,0
47,anger,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayanya gajadi deh mengingat kondisi yg gak fit bgt ini sebel. Rusak rencana sebelanga.. sebel akutu",25,hari ini libur rencana mau nonton jurassic world tapi kaya gajadi deh ingat kondisi yg gak fit bgt ini sebel rusak rencana belanga sebel akutu,0
48,anger,"Nah ini, yg nunggu anak anteng dengan kesabaran seluas samudra trus bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan",20,nah ini yg nunggu anak anteng dengan sabar luas samudra trus bapak dateng2 bikin anak nang hmmm ingin marah lampias,0
49,love,"Ku rindu bisik mu di telingaku Seraya kau berkata ""semoga kelak kau menjadi anak yg berguna bagi banyak orang dan semoga kau selalu menyayangi kami orang tua mu"".",28,ku rindu bisik mu di telinga seraya kau kata moga kelak kau jadi anak yg guna bagi banyak orang dan moga kau selalu sayang kami orang tua mu,3
50,anger,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...,15,ini hasil sekolah asal sekolah mikirlah mahkamah internasional itu punya wenang adil perkara genosida dsbnya,0
51,anger,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo",23,lah elu yang harus tanya teh kenapa bisa asumsi guw mah kacang tanpa kulit maksud apa hayo ke sana juga kan maksud loooo,0
52,anger,"web permata krg profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?",22,web permata krg profesional ada program cashback 10rb token pln waktu di klik info masuk ke program paket kuota data piye iki,0
53,fear,"Nah.... Yg saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yg bahaya, soale masyarakat kita sedang sensitif dgn hal tersebut.",23,nah yg saya takut itu mas nanti di tumpang politik balut agama itu yg bahaya soale masyarakat kita sedang sensitif dgn hal sebut,4
54,sadness,"mau cerita kesiapa kalau udah kayak begini? hancur hidup ini pikirin dong gimana hati ku aku sedih, aku nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw",32,mau cerita siapa kalau udah kayak begini hancur hidup ini pikirin dong gimana hati ku aku sedih aku nang sampai tetes air mata ini kayak lirik lagu sayang pia palen deh wkwkw,2
55,sadness,"Setelah 20hari puasa dan saur gak pernah kesiangan, akhirnya di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam",24,telah 20hari puasa dan saur gak pernah siang akhir di hari ke21 ngerasain makan saur supeerrr dupeerr ekspress 1menit belum imsak baru bangun yassalaaam,2
56,fear,"Jdi ada thr tapi dri APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dpt thr tahun ini. Kok bisa gitu ya. Buk mentri bilang aman. Yang lain ketakutan.",36,jdi ada thr tapi dri apbd yang punya kuasa takut kalau kalau di garis bawah sama kpk dan jadi mereka ggl dpt thr tahun ini kok bisa gitu ya buk tri bilang aman yang lain takut,4
57,anger,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok gabisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center smg . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalo gini trs kan jd jgkel sndri.,46,tolong bantu saya username kenapa ya lptop saya sudah 2 kali kok gabisa buka dokumen pasti not responding pdhal sudah pernah bawa ke hp center smg apakah lptop saya masuk produk gagal atau gimana beli 11 maret 2018 dan kalo gin trs kan jd jgkel sndri,0
58,anger,ini udah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tgl 11?,21,ini udah masuk ke proses jual tapi pas buka detail ko malah gin apakah produk sedang proses atau proses tgl 11,0
59,anger,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yg lokasi hanya 200 meter dr areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?,33,username semen indonesia belum nambang loh di rembang malah ada usaha yg lokasi hanya 200 meter dr areal tambang semen tidak pernah protes dan ini sudah bertahun2 lama knp kok pas semen protes,0
60,anger,SIAPA YG BILANG PUNYA ANAK MENYENANGKAN TEROS *sodorin anak yg tantrum karna ngantuk tp gak mau bobo* *istigfar kenceng2*,19,siapa yg bilang punya anak senang ros sodorin anak yg tantrum karna ngantuk tp gak mau bobo istigfar kenceng2,0
61,sadness,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi",28,rasa oon ketika tahu sesuatu dan tidak boleh di bicara ke orang lain nah lalai malah balik jadi malah rubah siklus dan alur waktu yang harus itu jadi,2
62,anger,"Punya sahabat cowo 2 nih, tapi sering nya ga konsisten terus sering bohong lagi. Kenapa sih? Udah berkali2 dimarahin karna sering bohong tapi ga mempan2 juga. Apa kodratnya suka bohong apa gimana?",32,punya sahabat cowo 2 nih tapi sering nya ga konsisten terus sering bohong lagi kenapa sih udah berkali2 dimarahin karna sering bohong tapi ga mempan2 juga apa kodrat suka bohong apa gimana,0
63,happy,"Kalau tau ada libur panjang - selain lebaran - tuh rasanya pengen cepet gendong cerrier pake sepatu trus pergi, ketemu alam dan berdamai dengannya,",22,kalau tau ada libur panjang selain lebaran tuh rasa ken cepet gendong cerrier pake sepatu trus pergi ketemu alam dan damai dengan,1
64,anger,Siapa bilang kafir gabung sama khilafah bro jgn alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL],23,siapa bilang kafir gabung sama khilafah bro jgn alih isu anda itu siapa selundup dari kaum bumidatar se olah2 pro pancasila username url,0
65,happy,"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]",34,btw doa restu orang tua itu emang giling ya pas udah mentok nyari literatur tambah nemu aja dong di rumah padahal dari kemarin udah panik kudu mesen dari banyumas apakah ini berkah ramadan url,1
66,anger,Salah satu contoh tidak tau berterima kasih... pdhl datang pas sdh terkenal pi wannaone... ckckckc yg dl berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME],38,salah satu contoh tidak tau terima kasih pdhl datang pas sdh kenal pi wannaone ckckckc yg dl juang siapa jawab sendiri ma ko deh wanna one s swing entertainment warns legal action against fansite masters url via username,0
67,fear,"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied ",27,dri pgi ngerasain sakit perut kirain mau haid udh beli kiranti pas di cek malah kaga ada plis atulah haid skrg aja biar bisa ikut solat ied,4
68,sadness, Turut berduka cita buat kawan a cak. Semoga. Keluarga yg di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani,23,turut duka cita buat kawan a cak moga keluarga yg di tinggal a bisa di beri sabar amp meridoi pergi alm sajete wani,2
69,anger,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes trus piye mau tunjukkan kartu elektoniknya? #kecewa,20,username jaring mati ya tidak bisa buka mobile jkn saya mau ke puskesmes trus piye mau tunjuk kartu elektoniknya kecewa,0
70,anger," lo belum lahir atau belom sekolah bong saya rasa.... Atau bapak lo pki bong Bandit , rampok atau sejenis yg menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]",36,lo belum lahir atau bom sekolah bong saya rasa atau bapak lo pki bong bandit rampok atau jenis yg menganggu orang banyak pak soeharto bilang kejam hanya oleh orang2 pki bandit rampok bong bong bongakkk url,0
71,anger,bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi . ga ada yang ngatur .flexible. lbh banyak duit. faaak,24,bagi yang dulunya usaha terus skrg jd karyawan macam gue pasti bawaannye pgn usaha lagi ga ada yang ngatur flexible lbh banyak duit faaak,0
72,sadness,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. Moga merapi lekas reda :) moga ngga ada bom lagi.,47,salah satu efek rapi sama bom bagi orang yang mau bikin event negara lain takut ke jogja dan indonesia karena jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama rapi sama teror juga moga rapi lekas reda moga ngga ada bom lagi,2
73,anger,Baiknya Gubernur Anies Baswedan dimosi tdk percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],20,baik gubernur anies baswedan mosi tdk percaya biar lengser username username username username username username username username username username url,0
74,anger,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus wkt terjadi pelemahan saja... dg menyalahkan semuanya kpd Presiden [USERNAME] ....  [URL],28,kaum oposisi tidak bikin geger an di media termsk medsos ketika rupiah kuat musim ribut nya khusus wkt jadi lemah saja dg salah semua kpd presiden username url,0
75,sadness,"Lagi puasa tp dri pagi udah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini knpa siang2 tetangga sbelah goreng telur yah, kan baunya smpe idung gw hikss piye sih mbak?",32,lagi puasa tp dri pagi udah kesana kemari mmbawa alamat eh ayuting2 kalee enggk ding ini knpa siang2 tetangga sbelah goreng telur yah kan bau smpe idung gw hikss piye sih mbak,2
